worker_id,assignment_id,current_trial,dateTime,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,2,1511836332204,Response,1,1,approx,1512,0,14,15,1,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,3,1511836335472,Response,2,2,approx,1502,0,6,6,0,0.1,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,4,1511836338812,Response,3,3,approx,1548,0,28,29,1,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,5,1511836342680,Response,4,4,approx,1538,0,21,19,2,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,6,1511836346966,Response,5,5,approx,1554,0,51,45,6,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,7,1511836350297,Response,6,6,approx,1519,0,42,36,6,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,8,1511836353703,Response,7,7,approx,1531,0,40,32,8,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,9,1511836357210,Response,8,8,approx,1504,0,18,16,2,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,10,1511836360984,Response,9,9,approx,1515,0,45,41,4,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,11,1511836365570,Response,10,10,approx,1539,0,37,25,12,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,12,1511836383309,Response,11,1,count,11950,0,39,38,1,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,13,1511836400011,Response,12,2,count,14976,0,41,40,1,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,14,1511836409049,Response,13,3,count,7902,0,29,29,0,0.1,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,15,1511836416437,Response,14,4,count,6222,0,24,23,1,0,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,16,1511836421544,Response,15,5,count,3549,0,14,14,0,0.1,0
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,17,1511836442937,Response,16,1,test,11858,0,40,40,0,0.1,0.1
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,18,1511836456151,Response,17,2,test,10891,0,32,32,0,0.1,0.2
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,19,1511836461373,Response,18,3,test,3071,0,10,11,1,0,0.2
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,20,1511836475870,Response,19,4,test,12303,0,41,41,0,0.1,0.3
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,21,1511836484921,Response,20,5,test,6974,0,22,22,0,0.1,0.4
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,22,1511836503070,Response,21,6,test,15863,0,48,50,2,0,0.4
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,23,1511836509055,Response,22,7,test,3613,0,14,14,0,0.1,0.5
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,24,1511836513155,Response,23,8,test,1774,0,50,50,0,0.1,0.6
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,25,1511836521624,Response,24,9,test,6350,0,17,17,0,0.1,0.7
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,26,1511836526933,Response,25,10,test,3395,0,10,10,0,0.1,0.8
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,27,1511836539132,Response,26,11,test,10058,0,45,47,2,0,0.8
A1I9ZBV75AVWUS,3IX2EGZR7CZPWS6D73ESYV1TD1CRJQ,28,1511836544348,Response,27,12,test,3304,0,14,14,0,0.1,0.9
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,2,1511837777566,Response,1,1,approx,1515,0,25,29,4,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,3,1511837789393,Response,2,2,approx,1509,0,22,8,14,0,0
A2Q1BZPQ1BFPSM,32UTUBMZ7HCB7GPISV6L147JQ2LVB7,4,1511837796959,Response,3,3,approx,1535,0,35,33,2,0,0
